paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,84,RLB6581,"USA: Arizona, Yuma Co.; Tule Well; N 32.2245, W 113.8095",EU129666,X. vigilis,vigilis_EM,plants,32.2245,-113.8095
Sinclair et al 2004,62,LACM 151491,"Tule Well, U.S.A.: Arizona",AY584337,v. vigilis,vigilis_EM,plants,32.22733086,-113.7474799
Leavitt 2007,1,DHL149,"USA: California, San Diego Co.; Mason Valley; N 33.0042, W 116.4602",EU129648,Xantusia vigilis,vigilis_EM,plants,33.0042,-116.4602
Leavitt 2007,83,RLB5817,"USA: Arizona, Yuma Co.; Horse Tank; N 33.0333, W 114.1667",EU129661,X. vigilis,vigilis_EM,plants,33.0333,-114.1667
Leavitt 2007,83,RLB5818,"USA: Arizona, Yuma Co.; Horse Tank; N 33.0333, W 114.1667",EU129662,X. vigilis,vigilis_EM,plants,33.0333,-114.1667
Sinclair et al 2004,70,LACM 145080,"Vizcaino, Mexico: Baja California Sur",AY584272,v. wigginsi,wigginsi,plants,27.67659,-113.4037
Leavitt 2007,25,48073,"USA: California, Kern Co.; Greenhorn Creek 2; N 35.5781, W 118.5605",EU129734,X. vigilis,vigilis_KCAV,plants,35.5781,-118.5605
Leavitt 2007,25,48074,"USA: California, Kern Co.; Greenhorn Creek 2; N 35.5781, W 118.5605",EU129730,X. vigilis,vigilis_KCAV,plants,35.5781,-118.5605
Lovich et al 2001,SDSNH68805,SDSNH68805,"1 km north of Lake Perris, Riverside Co, CA",AF313386,henshawi,henshawi_1,rocks,33.87492884,-117.1767318
Lovich et al 2001,SDSNH68806,SDSNH68806,"1 km south Chihuahua Valle Road, Riverside Co, CA",AF313374,henshawi,henshawi_1,rocks,33.38466348,-116.6891395
Lovich et al 2001,SDSNH68830,SDSNH68830,"2 km north of Ranchita, San Diego Co, CA",AF313382,henshawi,henshawi_1,rocks,33.21154554,-116.5144521
Leavitt 2007,2,BYU46706,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129649,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Leavitt 2007,2,BYU46707,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129650,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Leavitt 2007,2,BYU46708,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129646,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Noonan et al 2013,wigginsi 5267.14,LACM 145080,Mexico: Baja California: Vizcaino,EU116672,wigginsi,wigginsi,plants,27.67659,-113.4037
Sinclair et al 2004,70,LACM 145085,"Vizcaino, Mexico: Baja California Sur",AY584273,v. wigginsi,wigginsi,plants,27.67659,-113.4037
Leavitt 2007,135,RLB5267.14,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129970,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Noonan et al 2013,'Yucca Valley' DHL32,BYU 48040,USA: California: Yucca Valley Entrance,EU129908,NA,vigilis_YV,plants,34.11417,-116.43224
Noonan et al 2013,vigilis DHL148,BYU 46708,USA: California: Mason Valley,EU129647,vigilis,vigilis_EM,plants,33.0372222,-116.4035833
Noonan et al 2013,'Yucca Valley' DHL47,BYU 48087,USA: California: La Contenta Road,EU129955,NA,vigilis_YV,plants,34.11198065,-116.3693889
Sinclair et al 2004,36,LACM 138837,"Horse Tank, U.S.A.: Arizona",AY584302,v. vigilis,vigilis_EM,plants,33.08512952,-114.137499
Leavitt 2007,82,RLB5821,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129660,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,135,RLB5267.17,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129971,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Leavitt 2007,135,RLB5267.18,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129972,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Sinclair et al 2004,69,ENEPI 7708,"Rosalillita, Mexico: Baja California",AY584344,v. wigginsi,wigginsi,plants,28.66988669,-114.2342849
Noonan et al 2013,wigginsi ZE4,ENEPI 7708,Mexico: Baja California: Rosalillita,EU116669,wigginsi,wigginsi,plants,28.66988669,-114.2342849
Leavitt 2007,134,ENEPI7708,"Mexico: Baja California; Rosalillita; N 28.6973, W 114.1854",EU129964,X. wigginsi,wigginsi,plants,28.6973,-114.1854
Leavitt 2007,82,RLB5822,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129663,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,82,RLB5823,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129665,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,82,RLB5824,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129664,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,133,ENEPI7703,"Mexico: Baja California; Chapala; N 29.2403, W 114.1543",EU129965,X. wigginsi,wigginsi,plants,29.2403,-114.1543
Leavitt 2007,82,RLB5826,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129667,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,11,BYU46715,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129809,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,55,BYU46845,"USA: Utah, San Juan Co.; Moki Canyon; N 37.4835, W 110.6372",EU129712,X. vigilis,NA,plants,37.4835,-110.6372
Sinclair et al 2004,35,LACM 138840,"Budwiser Spring, U.S.A.: Arizona",AY584303,v. vigilis,vigilis_EM,plants,33.41686828,-114.0355996
Sinclair et al 2004,35,LACM 138841,"Budwiser Spring, U.S.A.: Arizona",AY584304,v. vigilis,vigilis_EM,plants,33.41701017,-114.0289908
Sinclair et al 2004,68,ENEPI 7703,"Chapala, Mexico: Baja California",AY584347,v. wigginsi,wigginsi,plants,29.46917023,-114.1760443
Noonan et al 2013,wigginsi ZL9,ENEPI 7703,Mexico: Baja California:  Chapala,EU129914,wigginsi,wigginsi,plants,29.46917023,-114.1760443
Leavitt 2007,132,ENEPI7706,"Mexico: Baja California; Fernando; N 30.0149, W 115.2505",EU129966,X. wigginsi,wigginsi,plants,30.0149,-115.2505
Leavitt 2007,131,ENEPI7704,"Mexico: Baja California; Rosario; N 30.0207, W 115.5118",EU129967,X. wigginsi,wigginsi,plants,30.0207,-115.5118
Sinclair et al 2004,66,ENEPI 7704,"Rosario, Mexico: Baja California",AY584348,v. wigginsi,wigginsi,plants,30.06010536,-115.7249377
Noonan et al 2013,wigginsi ZM3,ENEPI 7704,Mexico: Baja California: Rosario,EU116666,wigginsi,wigginsi,plants,30.06010536,-115.7249377
Leavitt 2007,129,ENEPI7700,"Mexico: Baja California; Matias; N 31.28, W 115.2545",EU129969,X. wigginsi,wigginsi,plants,31.28,-115.2545
Leavitt 2007,130,ENEPI7702,"Mexico: Baja California; Trinidad; N 31.3272, W 115.2545",EU129968,X. wigginsi,wigginsi,plants,31.3272,-115.2545
Sinclair et al 2004,64,ENEPI 7700,"Matias, Mexico: Baja California",AY584341,v. vigilis,wigginsi,plants,31.35487,-115.52311
Noonan et al 2013,wigginsi ZA3,ENEPI 7700,Mexico: Baja California: Matias,EU116671,wigginsi,wigginsi,plants,31.35487,-115.52311
